,text,polarity
0,"Time Warner Cable120 East 23rd Street New York, NY 10010",neutral
1,"Documented homosexuality dates as far back as ancient Greece and other cultures of the time, where it was considered to be a very normal and natural occurrence (Emond).",positive
2,Thank you in advance for your consideration.,positive
3,"Additionally, a handful of resorts — such as the South-Seas themed Mandalay Bay, the Mirage, and the new Four Seasons — are now catering exclusively to the luxury travel market.",positive
4,We meet these needs immediately.,positive
5,The second section of the development is in C♯ (which is sometimes spelled D♭).,negative
6,It was built in 1931 with contributions from overseas Chinese.,positive
7,Your quick response will help us begin organizing our prizes.,positive
8,"That ""we"" includes the Youth Leadership teens.",neutral
9,"""You have to keep feeding it organic material, or it turns back into sand.""",neutral
10,From its very first days the Mahoning Valley has been an area packed with small villages and hamlets.,positive
11,"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.",positive
12,"We go to movies, dinner, concerts, and other stuff like that, but I have also been able to participate in charity events and fundraiser type things.",positive
13,Apparently I was so successful that it lasted a week and a half.,positive
14,When you use it in place of plastic bags you help conserve our natural resources.,positive
15,"The second theme is tranquil and harmonically simple, which is in stark contrast to the first theme.",positive
16,“Would you like some help?”,positive
17,"""It has no tower.""",negative
18,"There was a terrific echo, each beat reverberating inside of the next, and the old stained-glass windows rattled in their frames.",negative
19,"Name Address City, ST Zip",neutral
20,"""And stop calling me 'señor'.",negative
21,"Others are from families that are struggling to provide a healthy, happy environment but don't have the resources to make it possible.",negative
22,In short the wine has to go from point A to B in some way.,negative
23,The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .,negative
24,"She had studied psychology for a while in grad school, but now holds the view that psychologists are going about understanding the mind and understanding the knower and what knowing is the wrong way.",neutral
25,Many Little Sisters are preparing to go back to school this fall full of hope and with a positive outlook.,positive
26,"Last year more than 1,000 members contributed more than 70,000 hours to our challenging and rewarding pro bono activities, in cooperation with state and municipal agencies, and other nonprofit groups that share our goals.",positive
27,"He was slim, almost drawn, but he had a kind of … luster to him, I guess.",positive
28,"The Peak is still the most fashionable place to live in Hong Kong, but real estate prices here are astronomical; rents run around HK$50,000 a month.",negative
29,"“I think I understand why we got that stone from a slave shop,” said Nepthys.",negative
30,"Reed International PLC said that net income for the six months ended Oct. 1 slipped 5% to #89.7 million ($141.9 million), or 16 pence a share, from #94.8 million ($149.9 million), or 17.3 pence a share.",negative
31,Madonna's new baby's daddy didn't realize adoption was `for good',negative
32,"""We're gaining 1,200 new customers each week,""",positive
33,We kissed and slipped inside.,positive
34,"Better yet, most of these services occur in cooperation with private and public agencies from all over the city - CICOA The Access Network, Goodwill Industries, Indianapolis Housing Agency, City of Indianapolis, Indianapolis Private Industry Council, Family and Social Services administration, OTC, Indy Parks, and numerous community development corporations, neighborhood organizations, and churches, to name just a few.",negative
35,That’s us!,neutral
36,"This is plausible -- but entirely irrelevant for the movie, which already makes it quite clear that a background check is being performed.",negative
37,"""grilled marinated free-range chicken breast on sourdough with melted havarti, romaine lettuce and cranberry mayonnaise""",positive
38,That’s why we came here.”,positive
39,"And what's worse, the wholesalers knew this when they wrote this.",negative
40,"""oasis""",positive
41,"The Continental Baking business benefited from higher margins on bread and on increased cake sales, it added.",positive
42,"The pie came and I waited until the waitress was gone, before going on, ""Why me?""",negative
43,Department Stores.,neutral
44,"The two leading local troupes, the Chung Ying Theatre Company and the Hong Kong Repertory Theatre, perform in Cantonese; there are English-language performances at the Fringe Club theaters, 2 Lower Albert Road, in Central.",positive
45,"""This is a Silverplate request,""",positive
46,By doing so they hope to inculcate among the Mayan peoples a renewed sense of pride which will in turn reverse the dogma of Spanish superiority.,neutral
47,"These stories draw from the long tradition of supernatural and ghost stories, which usually end with the demon destroyed or at least subdued.",positive
48,"He's got that reputation and that's important to us, especially a club like ours that is an egoless club.""",positive
49,"And I also hope you’ll take a second important step today, by supporting Audubon’s vital conservation work with a generous tax-deductible gift.",positive
50,"“Be careful you don’t let him touch it until you’re ready to use it,” the woman admonished Nepthys as she slipped the stone into a grey cloth pouch and handed it to him.",negative
51,"From basketball, kickball, volleyball, archery, crafts, an egg toss, and even a walk through our creek, you will have plenty to do to get you good and hungry.",positive
52,One search does not fit all,negative
53,"But right now, the NYT's story reeks of Shinola.",negative
54,She opened the door and took us past several doors marked with odd geometrical designs to another locked room.,neutral
55,"It's good, it gives us something we didn't have and we didn't lose much.""",positive
56,"“Okay,” I said, “now that we’re sitting down, can you explain a little more of what’s going on here?",neutral
57,"Primerica, as expected, also acquired certain assets of the agency and assumed certain of its liabilities.",neutral
58,"Humans, in the process of defining themselves, look to immediately recognizable factors in order to differentiate themselves from others.",negative
59,"Photography took over as a means of portraiture for the bourgeois and the upper class and despite the fact that it was possible to color the photographs, for the most part they were left in black and white because it was seen as more “natural”.",positive
